SNO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,MED
U31382_at,332.0,165.0,183.0,152.0,105.0,146.0,143.0,101.0,61.0,110.0,23.0,83.0,160.0,105.0,24.0,164.0,173.0,245.0,151.0,173.0,45.0,76.0,118.0,126.0,32.0,118.0,82.0,243.0,129.0,110.0,25.0,52.0,186.0,143.0,124.0,224.0,384.0,133.0,94.0,MED
U44378_at,178.0,204.0,179.0,227.0,169.0,163.0,156.0,132.0,169.0,103.0,64.0,61.0,141.0,178.0,117.0,226.0,153.0,191.0,200.0,186.0,299.0,222.0,181.0,116.0,173.0,198.0,137.0,171.0,155.0,142.0,168.0,253.0,150.0,115.0,89.0,152.0,217.0,159.0,177.0,MED
U49973_xpt2_at,58.0,74.0,71.0,43.0,65.0,71.0,78.0,93.0,85.0,63.0,40.0,70.0,107.0,130.0,60.0,124.0,52.0,46.0,87.0,106.0,100.0,114.0,51.0,54.0,139.0,80.0,85.0,76.0,86.0,84.0,71.0,130.0,53.0,86.0,82.0,81.0,57.0,120.0,66.0,MED
U61145_at,133.0,86.0,140.0,164.0,320.0,156.0,139.0,181.0,223.0,277.0,73.0,280.0,280.0,143.0,93.0,166.0,52.0,80.0,119.0,147.0,140.0,338.0,135.0,249.0,383.0,97.0,111.0,74.0,283.0,57.0,190.0,180.0,91.0,68.0,65.0,118.0,141.0,90.0,113.0,MED
U79248_at,47.0,60.0,66.0,53.0,61.0,62.0,50.0,47.0,54.0,32.0,38.0,21.0,39.0,50.0,27.0,59.0,43.0,56.0,56.0,46.0,53.0,42.0,71.0,73.0,31.0,67.0,32.0,41.0,50.0,46.0,49.0,53.0,34.0,41.0,58.0,58.0,55.0,49.0,76.0,MED
U79262_at,179.0,192.0,215.0,187.0,263.0,233.0,252.0,173.0,200.0,154.0,170.0,299.0,298.0,261.0,131.0,215.0,142.0,171.0,185.0,178.0,222.0,315.0,120.0,101.0,152.0,259.0,186.0,219.0,196.0,111.0,147.0,137.0,189.0,148.0,204.0,208.0,185.0,171.0,200.0,MED
V00599_s_at,1883.0,1441.0,1474.0,1872.0,1391.0,1572.0,1337.0,2605.0,1964.0,2363.0,1590.0,2064.0,1572.0,1581.0,2262.0,3008.0,1505.0,1341.0,1897.0,3658.0,1694.0,2392.0,2657.0,1446.0,1171.0,1849.0,2549.0,2033.0,1976.0,1031.0,1021.0,1395.0,2190.0,1794.0,1980.0,2961.0,1584.0,1858.0,1958.0,MED
X70683_at,757.0,537.0,940.0,683.0,1571.0,1662.0,775.0,905.0,2421.0,454.0,794.0,1448.0,1800.0,1383.0,358.0,936.0,532.0,512.0,840.0,725.0,1423.0,2104.0,683.0,1001.0,2697.0,1349.0,1326.0,296.0,2619.0,320.0,923.0,2100.0,593.0,474.0,355.0,770.0,607.0,1949.0,1065.0,MED
X73358_s_at,479.0,433.0,799.0,588.0,939.0,790.0,658.0,458.0,1021.0,496.0,537.0,1132.0,715.0,1283.0,305.0,616.0,334.0,574.0,1046.0,870.0,796.0,1047.0,422.0,458.0,357.0,825.0,488.0,512.0,918.0,245.0,407.0,541.0,373.0,620.0,465.0,537.0,648.0,662.0,1030.0,MED
Z69915_at,160.0,172.0,184.0,164.0,157.0,158.0,186.0,184.0,124.0,159.0,56.0,154.0,127.0,85.0,64.0,396.0,167.0,185.0,166.0,178.0,183.0,215.0,140.0,90.0,139.0,278.0,109.0,152.0,193.0,160.0,162.0,114.0,216.0,149.0,191.0,122.0,210.0,222.0,250.0,MED
