,M93119_at,D50310_at,U07550_at,X65784_s_at,D80004_at,M93426_at,X52011_at,M57464_s_at,J03191_at,M83308_at,X54304_at,U79262_at,M31303_rna1_at,D42041_at,U79294_at,U09087_s_at,U16954_at,L36818_at,L25270_at,U06155_at,D00763_at,D87470_at,U17760_rna1_at,D14662_at,D13631_s_at,M16447_at,M75099_at,Z69915_at,V01515_cds1_at,D25304_at,U90916_at,X76105_at,U51336_at,D45248_at,L06132_at,HG3514-HT3708_at,X04106_at,M20137_at,D85815_at,X00371_rna1_at,class
20,899,1479,209,105,296,46,46,188,305,305,65,178,908,99,173,60,1108,24,45,20,95,52,93,73,20,34,118,178,38,66,29,29,216,88,246,214,595,80,267,34,MED
21,233,1182,91,133,270,226,47,67,219,235,72,222,699,113,172,113,740,52,41,20,114,71,51,125,28,24,83,183,25,85,20,20,296,149,230,232,371,114,260,39,MED
22,597,957,179,59,278,22,59,99,28,335,60,315,964,90,83,109,1443,22,42,20,64,40,89,104,20,29,20,215,51,35,20,20,192,36,200,216,368,97,297,51,MED
23,1000,1008,123,25,349,45,67,73,20,287,46,120,732,72,391,109,808,33,45,23,92,39,73,91,20,32,20,140,45,66,20,20,199,25,181,162,307,117,285,42,MED
24,174,435,79,53,169,42,70,25,20,405,20,101,830,105,297,121,945,20,35,24,95,65,81,105,20,33,41,90,43,20,20,20,79,49,105,110,585,86,265,20,MED
25,201,569,67,88,415,105,41,22,113,319,20,152,1093,94,20,66,861,30,49,33,78,20,80,65,20,20,20,139,20,20,20,20,143,25,179,250,102,106,249,20,MED
26,686,831,142,72,173,166,45,77,122,167,86,259,515,257,85,28,981,59,36,52,204,100,62,153,20,75,116,278,42,111,20,56,169,120,303,297,304,140,190,48,MED
27,126,1030,308,48,65,43,81,690,274,306,48,186,634,66,170,31,378,27,27,26,147,32,64,110,20,42,100,109,45,205,20,20,275,51,234,135,175,147,253,26,MED
28,582,927,308,111,224,25,51,287,176,239,92,219,534,205,102,70,626,69,35,51,320,58,100,191,20,36,52,152,45,233,20,66,212,43,285,202,206,148,247,52,MED
29,534,996,70,157,387,114,54,96,237,195,61,196,830,108,104,64,1102,36,40,20,127,104,90,135,20,40,122,193,28,84,20,49,152,100,231,372,399,113,274,44,MED
30,481,713,122,154,183,20,63,130,155,224,71,111,467,273,160,52,387,72,38,49,131,76,73,203,20,48,112,160,52,136,20,93,124,131,193,271,247,133,263,40,MED
31,133,982,64,75,100,88,68,26,20,261,58,147,1106,84,379,74,682,20,49,20,69,20,36,86,36,20,22,162,20,47,20,20,84,20,177,205,526,139,244,26,MED
32,116,799,109,81,198,49,69,20,51,248,31,137,842,115,74,42,747,54,44,20,63,60,80,102,20,35,20,114,61,22,20,20,167,70,166,123,155,98,277,47,MED
33,124,1669,362,131,300,23,51,308,309,251,100,189,573,221,114,47,407,102,36,35,254,60,67,215,20,83,130,216,46,176,20,45,331,141,419,449,590,132,232,42,MED
34,554,883,144,131,418,20,58,268,112,325,33,148,576,113,109,39,699,45,49,20,70,67,67,41,20,44,65,149,26,214,20,40,168,47,116,178,248,83,273,64,MED
35,1060,1243,225,128,320,122,52,262,106,244,27,204,696,197,200,39,874,90,39,23,276,92,72,187,20,89,88,191,49,191,44,49,254,82,329,214,357,126,229,59,MED
36,1142,1463,255,164,385,20,44,210,196,228,77,208,791,148,86,72,872,64,32,55,220,47,69,134,20,70,109,122,43,180,21,108,329,96,288,250,303,88,203,40,MED
37,577,848,237,147,353,20,53,175,309,234,69,185,631,277,92,138,848,63,27,20,226,47,64,177,20,97,100,210,42,153,20,87,238,116,334,216,339,102,226,42,MED
38,773,1087,79,169,159,87,65,41,20,212,62,171,819,137,129,38,1069,59,47,41,100,141,71,116,20,69,66,222,41,98,20,108,156,94,127,328,496,117,216,44,MED
39,332,1150,230,87,258,72,52,206,126,262,126,200,751,162,95,63,786,35,39,20,142,35,69,172,20,50,53,250,46,163,20,20,106,97,334,356,398,113,248,37,MED
40,47,621,91,101,97,769,114,121,30,448,20,125,183,110,91,20,337,46,52,20,72,98,123,42,36,70,20,92,69,149,20,20,216,43,162,73,184,209,380,69,MGL
41,42,478,174,74,23,425,94,128,112,454,68,103,250,156,246,28,276,84,49,20,136,47,110,202,98,77,20,76,61,235,33,20,150,35,190,207,212,189,359,61,MGL
42,20,287,45,68,50,331,98,78,121,475,20,91,225,113,461,20,169,64,52,20,26,143,122,179,40,82,54,30,56,185,77,20,759,40,193,83,312,198,373,74,MGL
43,20,365,198,90,64,569,77,165,320,375,155,146,265,169,302,23,309,72,48,50,163,92,110,222,99,117,90,42,57,296,45,66,167,152,258,237,515,188,316,60,MGL
44,35,388,133,130,91,784,103,68,20,508,20,138,167,145,156,20,486,65,55,38,68,130,123,136,63,109,20,81,66,214,55,20,249,37,173,178,233,172,382,70,MGL
45,20,324,57,91,54,315,95,109,47,534,20,125,93,84,148,20,177,85,52,27,60,70,139,85,44,34,20,43,64,165,88,20,239,21,120,54,243,176,349,66,MGL
46,20,421,150,65,53,355,92,84,105,516,20,85,267,100,403,20,222,97,44,20,67,67,119,505,84,74,20,51,61,299,167,20,367,41,189,108,168,172,382,69,MGL
47,20,545,370,156,158,224,42,257,721,209,222,64,452,329,168,23,607,151,29,73,320,78,54,281,194,84,84,119,27,569,33,93,148,355,401,403,597,117,214,39,RHB
48,20,336,405,130,138,508,45,281,1132,236,415,102,275,323,142,20,108,116,36,58,268,74,53,197,20,37,146,63,37,165,20,85,107,230,497,591,688,124,204,26,RHB
49,20,396,389,157,114,20,46,307,924,226,395,109,395,339,104,21,211,142,36,65,397,74,59,340,20,40,100,86,45,178,20,72,96,412,472,458,689,90,216,36,RHB
50,20,629,390,229,164,20,35,303,881,185,356,132,508,347,104,21,455,256,29,60,285,67,58,312,20,101,44,42,63,180,30,57,96,394,560,553,663,128,198,33,RHB
51,20,644,663,180,91,45,38,283,754,211,353,110,515,436,104,51,261,143,29,45,425,67,52,329,20,58,165,58,38,209,20,76,146,384,569,457,697,108,183,27,RHB
52,20,619,457,291,138,20,27,292,1029,172,403,75,404,376,101,20,54,180,24,97,489,61,99,292,20,65,177,38,20,241,20,101,184,429,577,505,851,109,147,40,RHB
53,20,422,144,222,46,20,49,265,739,207,296,56,187,314,704,20,71,166,25,42,383,20,69,306,20,42,158,37,31,243,20,134,147,284,577,537,709,84,216,35,RHB
54,20,352,390,231,108,280,30,94,154,218,71,71,263,221,323,20,75,167,31,80,366,96,65,434,20,45,303,43,22,136,67,206,433,189,299,208,451,163,237,41,EPD
55,20,340,384,231,73,303,36,20,73,179,81,92,226,219,254,20,46,142,23,69,323,106,55,373,33,36,286,56,42,159,134,154,160,249,339,231,362,108,230,37,EPD
56,20,482,428,231,102,165,34,63,416,183,171,76,288,246,298,22,114,165,20,68,377,100,50,582,62,97,202,61,27,203,72,298,145,243,400,387,477,128,171,32,EPD
57,20,572,538,274,72,104,35,102,605,174,406,114,428,251,383,55,191,188,23,70,453,115,41,395,23,108,213,102,26,162,47,206,139,274,431,458,541,98,199,20,EPD
58,68,773,498,258,98,165,35,126,458,134,256,129,608,263,291,92,434,209,20,73,483,111,36,366,27,111,187,141,23,176,26,171,170,210,459,295,500,92,163,22,EPD
59,20,366,426,262,25,296,35,119,120,218,60,87,381,303,307,20,155,191,27,52,368,127,70,537,26,51,177,38,30,200,52,243,411,339,296,208,490,142,191,35,EPD
60,20,518,330,183,80,20,31,62,306,146,222,63,193,221,378,20,176,138,20,64,308,82,62,327,24,70,225,46,38,147,20,183,322,163,320,316,509,56,174,31,EPD
61,138,661,497,234,69,269,38,119,237,224,162,112,329,147,671,28,323,217,23,64,342,253,48,445,114,105,321,93,25,321,114,164,248,154,389,323,515,149,170,20,EPD
62,20,567,389,210,97,228,36,55,353,163,243,130,226,274,550,20,49,141,20,86,393,105,40,579,141,134,259,63,27,382,87,121,281,96,463,286,574,118,161,32,EPD
63,20,513,363,170,103,473,31,88,580,175,330,95,287,222,559,23,320,170,20,65,409,109,41,431,89,113,190,61,22,288,85,205,237,248,400,463,586,95,174,26,EPD
64,20,562,340,219,46,1035,39,88,375,188,191,87,301,215,976,20,335,221,20,82,239,228,57,198,329,231,239,52,21,686,196,132,626,235,512,328,534,107,182,32,JPA
65,20,526,293,226,34,872,39,62,246,195,179,89,343,221,911,20,352,240,20,63,297,266,54,309,365,253,238,47,20,766,239,118,678,181,467,290,516,95,177,35,JPA
66,20,515,270,180,43,874,42,66,257,210,148,74,277,209,857,20,329,199,23,66,250,227,63,249,331,228,230,66,24,656,192,101,593,160,433,295,487,118,223,43,JPA
67,20,549,328,229,38,997,39,83,292,239,176,66,256,173,781,20,313,243,20,73,316,235,59,294,396,220,231,76,21,799,197,117,590,193,467,390,649,111,213,31,JPA
68,20,600,315,209,51,1069,48,75,259,251,167,80,271,163,887,20,287,237,24,57,171,220,63,285,314,233,216,64,24,641,214,92,630,163,354,355,561,101,228,33,JPA
69,20,492,336,141,54,896,54,65,263,272,181,78,228,187,887,20,269,209,20,64,247,236,48,356,293,200,248,69,28,737,248,83,668,167,402,363,573,121,216,39,JPA
