,M93119_at,D50310_at,U70321_at,X03066_at,M19645_at,U07550_at,X65784_s_at,D80004_at,X60188_at,L37792_at,M93426_at,L36463_at,X52011_at,X03663_at,X00371_rna1_at,M57464_s_at,L43338_at,M83308_at,J03191_at,U79262_at,M31303_rna1_at,X54304_at,D42041_at,U79294_at,U09087_s_at,U16954_at,L36818_at,L25270_at,L08895_at,U06155_at,U66879_at,D14043_at,U33818_at,X73358_s_at,D00763_at,D87470_at,Z97074_at,D14662_at,M69066_at,D13631_s_at,M16447_at,M75099_at,Z69915_at,V01515_cds1_at,D25304_at,U90916_at,X76105_at,U51336_at,U91930_at,U30521_at,D45248_at,L06132_at,HG3514-HT3708_at,X04106_at,M20137_at,D85815_at,X15187_at,U17760_rna1_at,U79248_at,X61587_at,class
12,536,956,102,91,77,20,169,320,20,135,25,287,90,20,53,57,69,355,133,299,871,37,94,88,61,1237,20,20,20,20,20,20,65,1132,93,70,47,57,60,20,44,56,154,46,26,20,20,240,239,1080,87,147,190,439,149,334,133,124,21,40,MED
13,459,984,67,45,59,124,98,314,20,239,84,197,51,20,32,131,27,363,90,298,1066,53,90,134,55,812,20,42,20,20,20,42,91,715,68,41,55,37,40,20,45,70,127,24,20,20,33,254,109,878,90,250,137,556,102,260,234,91,39,20,MED
14,128,1307,56,87,110,119,32,157,20,250,35,225,64,20,64,123,64,349,135,261,568,20,132,183,68,649,20,46,20,20,20,41,43,1283,63,20,46,98,27,20,24,197,85,39,27,20,20,207,130,676,42,154,210,333,105,304,274,103,50,20,MED
15,20,571,24,88,292,293,217,55,20,93,30,194,43,20,46,231,34,261,878,131,466,344,195,170,83,70,109,32,20,29,85,48,136,305,156,51,51,132,295,20,32,195,64,32,62,20,86,207,389,362,201,286,338,1009,123,292,444,68,27,74,MED
16,701,2082,46,84,65,143,88,307,20,154,20,181,50,20,38,277,46,265,223,215,746,57,165,111,90,1032,30,31,20,20,20,49,200,616,132,55,41,112,177,20,42,23,396,22,87,20,50,302,229,1073,39,205,227,398,160,254,447,49,59,32,MED
17,686,838,97,129,243,214,97,321,31,132,20,271,54,41,39,176,41,205,365,142,472,180,198,137,87,880,95,25,81,43,20,219,93,334,263,70,25,196,572,34,38,108,167,35,212,20,84,462,224,851,109,299,324,426,112,224,581,65,43,94,MED
18,923,1132,92,107,94,194,152,322,25,228,22,256,49,44,37,186,43,180,367,171,581,78,170,100,69,984,48,26,20,36,20,135,76,574,245,55,45,151,297,20,47,73,185,36,197,20,82,446,252,1003,82,412,213,472,86,190,239,57,56,78,MED
19,409,1434,72,116,261,246,85,235,38,353,76,273,42,20,43,119,33,190,181,185,604,51,200,131,104,1159,54,33,20,32,20,89,73,1046,201,76,57,170,89,20,57,156,166,38,120,20,27,262,235,1137,114,372,253,334,121,197,497,52,56,65,MED
20,899,1479,73,86,72,209,105,296,20,126,46,176,46,20,34,188,35,305,305,178,908,65,99,173,60,1108,24,45,20,20,20,35,77,870,95,52,51,73,97,20,34,118,178,38,66,29,29,216,233,1025,88,246,214,595,80,267,221,93,46,57,MED
21,233,1182,98,109,191,91,133,270,20,227,226,207,47,28,39,67,41,235,219,222,699,72,113,172,113,740,52,41,20,20,20,83,110,796,114,71,49,125,154,28,24,83,183,25,85,20,20,296,353,1224,149,230,232,371,114,260,372,51,53,46,MED
22,597,957,61,90,71,179,59,278,20,206,22,165,59,20,51,99,54,335,28,315,964,60,90,83,109,1443,22,42,20,20,20,22,47,1047,64,40,62,104,35,20,29,20,215,51,35,20,20,192,222,1104,36,200,216,368,97,297,231,89,42,20,MED
23,1000,1008,68,133,71,123,25,349,20,183,45,244,67,20,42,73,36,287,20,120,732,46,72,391,109,808,33,45,20,23,20,51,52,422,92,39,25,91,197,20,32,20,140,45,66,20,20,199,161,683,25,181,162,307,117,285,300,73,71,20,MED
24,174,435,57,146,26,79,53,169,20,90,42,222,70,20,20,25,20,405,20,101,830,20,105,297,121,945,20,35,20,24,260,29,20,458,95,65,22,105,45,20,33,41,90,43,20,20,20,79,195,470,49,105,110,585,86,265,368,81,73,20,MED
25,201,569,105,116,105,67,88,415,20,187,105,228,41,20,20,22,55,319,113,152,1093,20,94,20,66,861,30,49,20,33,20,33,20,357,78,20,55,65,124,20,20,20,139,20,20,20,20,143,285,1005,25,179,250,102,106,249,252,80,31,20,MED
26,686,831,134,109,260,142,72,173,80,205,166,250,45,23,48,77,35,167,122,259,515,86,257,85,28,981,59,36,20,52,32,69,70,825,204,100,72,153,102,20,75,116,278,42,111,20,56,169,287,1040,120,303,297,304,140,190,429,62,67,53,MED
27,126,1030,48,117,203,308,48,65,20,255,43,264,81,27,26,690,20,306,274,186,634,48,66,170,31,378,27,27,34,26,20,33,62,488,147,32,80,110,54,20,42,100,109,45,205,20,20,275,290,468,51,234,135,175,147,253,409,64,32,40,MED
28,582,927,83,131,122,308,111,224,20,160,25,309,51,20,52,287,30,239,176,219,534,92,205,102,70,626,69,35,20,51,20,123,76,512,320,58,46,191,306,20,36,52,152,45,233,20,66,212,182,836,43,285,202,206,148,247,437,100,41,68,MED
29,534,996,38,112,158,70,157,387,28,117,114,336,54,20,44,96,29,195,237,196,830,61,108,104,64,1102,36,40,20,20,20,62,97,918,127,104,59,135,112,20,40,122,193,28,84,20,49,152,205,966,100,231,372,399,113,274,341,90,50,75,MED
30,481,713,113,128,263,122,154,183,20,213,20,291,63,20,40,130,62,224,155,111,467,71,273,160,52,387,72,38,20,49,20,74,53,245,131,76,24,203,346,20,48,112,160,52,136,20,93,124,220,605,131,193,271,247,133,263,538,73,46,34,MED
31,133,982,82,118,57,64,75,100,20,193,88,172,68,20,26,26,20,261,20,147,1106,58,84,379,74,682,20,49,20,20,20,37,35,407,69,20,25,86,115,36,20,22,162,20,47,20,20,84,231,1352,20,177,205,526,139,244,298,36,49,20,MED
32,116,799,74,84,101,109,81,198,20,175,49,145,69,20,47,20,52,248,51,137,842,31,115,74,42,747,54,44,20,20,20,74,43,541,63,60,45,102,94,20,35,20,114,61,22,20,20,167,211,1281,70,166,123,155,98,277,302,80,53,20,MED
33,124,1669,72,90,361,362,131,300,71,172,23,255,51,20,42,308,22,251,309,189,573,100,221,114,47,407,102,36,20,35,20,75,163,373,254,60,110,215,192,20,83,130,216,46,176,20,45,331,202,687,141,419,449,590,132,232,657,67,34,68,MED
34,554,883,119,134,78,144,131,418,20,207,20,314,58,20,64,268,35,325,112,148,576,33,113,109,39,699,45,49,20,20,20,60,27,620,70,67,20,41,219,20,44,65,149,26,214,20,40,168,90,626,47,116,178,248,83,273,259,67,41,74,MED
35,1060,1243,73,99,147,225,128,320,44,224,122,299,52,31,59,262,37,244,106,204,696,27,197,200,39,874,90,39,20,23,20,46,91,465,276,92,32,187,386,20,89,88,191,49,191,44,49,254,252,810,82,329,214,357,126,229,360,72,58,64,MED
36,1142,1463,77,81,98,255,164,385,20,241,20,258,44,26,40,210,32,228,196,208,791,77,148,86,72,872,64,32,20,55,20,43,61,537,220,47,29,134,268,20,70,109,122,43,180,21,108,329,200,1330,96,288,250,303,88,203,380,69,58,59,MED
37,577,848,96,99,119,237,147,353,20,140,20,263,53,20,42,175,47,234,309,185,631,69,277,92,138,848,63,27,20,20,20,42,66,648,226,47,25,177,265,20,97,100,210,42,153,20,87,238,215,1082,116,334,216,339,102,226,401,64,55,75,MED
38,773,1087,62,113,224,79,169,159,55,214,87,358,65,20,44,41,43,212,20,171,819,62,137,129,38,1069,59,47,59,41,20,62,56,662,100,141,26,116,65,20,69,66,222,41,98,20,108,156,427,1614,94,127,328,496,117,216,369,71,49,64,MED
39,332,1150,80,117,123,230,87,258,20,232,72,294,52,20,37,206,39,262,126,200,751,126,162,95,63,786,35,39,20,20,20,23,107,1030,142,35,49,172,192,20,50,53,250,46,163,20,20,106,254,1094,97,334,356,398,113,248,412,69,76,55,MED
40,47,621,117,146,67,91,101,97,20,77,769,323,114,20,69,121,71,448,30,125,183,20,110,91,20,337,46,52,25,20,20,24,20,235,72,98,35,42,168,36,70,20,92,69,149,20,20,216,190,282,43,162,73,184,209,380,186,123,34,35,MGL
41,42,478,127,144,132,174,74,23,20,78,425,321,94,51,61,128,62,454,112,103,250,68,156,246,28,276,84,49,41,20,20,101,48,245,136,47,37,202,398,98,77,20,76,61,235,33,20,150,173,147,35,190,207,212,189,359,328,110,36,43,MGL
42,20,287,120,128,80,45,68,50,20,92,331,307,98,58,74,78,77,475,121,91,225,20,113,461,20,169,64,52,20,20,350,77,31,209,26,143,30,179,139,40,82,54,30,56,185,77,20,759,148,22,40,193,83,312,198,373,268,122,21,115,MGL
43,20,365,127,133,249,198,90,64,20,115,569,305,77,73,60,165,57,375,320,146,265,155,169,302,23,309,72,48,53,50,20,147,49,401,163,92,56,222,485,99,117,90,42,57,296,45,66,167,233,159,152,258,237,515,188,316,404,110,26,77,MGL
44,35,388,135,138,100,133,130,91,20,91,784,327,103,20,70,68,76,508,20,138,167,20,145,156,20,486,65,55,36,38,20,49,29,192,68,130,37,136,118,63,109,20,81,66,214,55,20,249,239,131,37,173,178,233,172,382,245,123,27,54,MGL
45,20,324,134,148,54,57,91,54,20,100,315,360,95,20,66,109,65,534,47,125,93,20,84,148,20,177,85,52,20,27,20,25,26,154,60,70,20,85,30,44,34,20,43,64,165,88,20,239,156,45,21,120,54,243,176,349,233,139,46,27,MGL
46,20,421,118,130,97,150,65,53,22,163,355,346,92,40,69,84,71,516,105,85,267,20,100,403,20,222,97,44,73,20,20,78,44,128,67,67,20,505,131,84,74,20,51,61,299,167,20,367,130,139,41,189,108,168,172,382,266,119,36,54,MGL
47,20,545,107,96,480,370,156,158,28,123,224,228,42,87,39,257,21,209,721,64,452,222,329,168,23,607,151,29,87,73,25,216,134,229,320,78,73,281,502,194,84,84,119,27,569,33,93,148,295,538,355,401,403,597,117,214,837,54,22,126,RHB
48,20,336,96,122,530,405,130,138,20,102,508,226,45,26,26,281,33,236,1132,102,275,415,323,142,20,108,116,36,20,58,20,314,149,215,268,74,67,197,556,20,37,146,63,37,165,20,85,107,303,97,230,497,591,688,124,204,903,53,20,108,RHB
49,20,396,134,104,388,389,157,114,39,86,20,218,46,35,36,307,24,226,924,109,395,395,339,104,21,211,142,36,20,65,20,286,144,370,397,74,70,340,458,20,40,100,86,45,178,20,72,96,321,222,412,472,458,689,90,216,723,59,20,102,RHB
50,20,629,87,94,436,390,229,164,20,154,20,195,35,22,33,303,27,185,881,132,508,356,347,104,21,455,256,29,20,60,20,213,177,514,285,67,76,312,630,20,101,44,42,63,180,30,57,96,451,651,394,560,553,663,128,198,793,58,20,110,RHB
51,20,644,79,123,786,663,180,91,20,104,45,235,38,26,27,283,25,211,754,110,515,353,436,104,51,261,143,29,20,45,20,251,186,390,425,67,71,329,498,20,58,165,58,38,209,20,76,146,315,1245,384,569,457,697,108,183,1190,52,20,96,RHB
52,20,619,108,84,628,457,291,138,73,132,20,234,27,20,40,292,20,172,1029,75,404,403,376,101,20,54,180,24,45,97,87,255,167,295,489,61,64,292,481,20,65,177,38,20,241,20,101,184,493,894,429,577,505,851,109,147,870,99,20,130,RHB
53,20,422,121,119,674,144,222,46,20,139,20,284,49,137,35,265,25,207,739,56,187,296,314,704,20,71,166,25,86,42,66,212,129,299,383,20,67,306,698,20,42,158,37,31,243,20,134,147,184,716,284,577,537,709,84,216,1085,69,28,143,RHB
54,20,352,70,89,688,390,231,108,27,135,280,256,30,20,41,94,32,218,154,71,263,71,221,323,20,75,167,31,104,80,71,145,58,170,366,96,41,434,676,20,45,303,43,22,136,67,206,433,425,132,189,299,208,451,163,237,821,65,25,62,EPD
55,20,340,86,72,374,384,231,73,46,135,303,231,36,20,37,20,39,179,73,92,226,81,219,254,20,46,142,23,104,69,129,352,60,261,323,106,50,373,492,33,36,286,56,42,159,134,154,160,411,159,249,339,231,362,108,230,577,55,37,57,EPD
56,20,482,100,76,611,428,231,102,175,115,165,216,34,21,32,63,32,183,416,76,288,171,246,298,22,114,165,20,80,68,151,149,73,157,377,100,42,582,740,62,97,202,61,27,203,72,298,145,403,412,243,400,387,477,128,171,706,50,30,100,EPD
57,20,572,23,90,447,538,274,72,69,110,104,201,35,28,20,102,30,174,605,114,428,406,251,383,55,191,188,23,33,70,97,274,113,252,453,115,64,395,557,23,108,213,102,26,162,47,206,139,379,614,274,431,458,541,98,199,719,41,24,101,EPD
58,68,773,51,75,483,498,258,98,93,117,165,192,35,20,22,126,31,134,458,129,608,256,263,291,92,434,209,20,42,73,98,239,155,211,483,111,65,366,302,27,111,187,141,23,176,26,171,170,383,694,210,459,295,500,92,163,707,36,34,93,EPD
59,20,366,35,99,397,426,262,25,25,131,296,234,35,20,35,119,32,218,120,87,381,60,303,307,20,155,191,27,75,52,123,231,96,69,368,127,38,537,707,26,51,177,38,30,200,52,243,411,417,454,339,296,208,490,142,191,611,70,38,57,EPD
60,20,518,191,100,389,330,183,80,98,126,20,242,31,26,31,62,28,146,306,63,193,222,221,378,20,176,138,20,67,64,90,252,99,174,308,82,43,327,769,24,70,225,46,38,147,20,183,322,313,504,163,320,316,509,56,174,849,62,37,79,EPD
61,138,661,35,94,473,497,234,69,91,113,269,222,38,132,20,119,33,224,237,112,329,162,147,671,28,323,217,23,73,64,135,247,118,228,342,253,63,445,614,114,105,321,93,25,321,114,164,248,342,561,154,389,323,515,149,170,740,48,32,138,EPD
62,20,567,85,69,529,389,210,97,165,92,228,189,36,32,32,55,28,163,353,130,226,243,274,550,20,49,141,20,38,86,111,330,80,369,393,105,67,579,665,141,134,259,63,27,382,87,121,281,401,71,96,463,286,574,118,161,581,40,26,102,EPD
63,20,513,84,104,527,363,170,103,121,94,473,183,31,146,26,88,25,175,580,95,287,330,222,559,23,320,170,20,193,65,97,261,141,239,409,109,59,431,733,89,113,190,61,22,288,85,205,237,306,498,248,400,463,586,95,174,659,41,26,191,EPD
64,20,562,63,77,458,340,219,46,135,67,1035,202,39,200,32,88,27,188,375,87,301,191,215,976,20,335,221,20,113,82,20,195,86,389,239,228,72,198,563,329,231,239,52,21,686,196,132,626,339,139,235,512,328,534,107,182,597,57,38,186,JPA
65,20,526,71,70,366,293,226,34,155,71,872,209,39,243,35,62,28,195,246,89,343,179,221,911,20,352,240,20,108,63,47,213,137,311,297,266,65,309,602,365,253,238,47,20,766,239,118,678,327,173,181,467,290,516,95,177,545,54,31,174,JPA
66,20,515,123,98,363,270,180,43,157,92,874,239,42,205,43,66,39,210,257,74,277,148,209,857,20,329,199,23,119,66,22,224,119,267,250,227,59,249,574,331,228,230,66,24,656,192,101,593,292,92,160,433,295,487,118,223,591,63,35,166,JPA
67,20,549,64,73,444,328,229,38,142,73,997,217,39,176,31,83,27,239,292,66,256,176,173,781,20,313,243,20,123,73,52,150,108,324,316,235,72,294,630,396,220,231,76,21,799,197,117,590,317,116,193,467,390,649,111,213,574,59,38,182,JPA
68,20,600,67,78,503,315,209,51,160,99,1069,222,48,242,33,75,38,251,259,80,271,167,163,887,20,287,237,24,118,57,20,163,115,357,171,220,60,285,584,314,233,216,64,24,641,214,92,630,348,304,163,354,355,561,101,228,574,63,36,170,JPA
69,20,492,99,76,392,336,141,54,143,74,896,209,54,205,39,65,36,272,263,78,228,181,187,887,20,269,209,20,122,64,48,233,164,329,247,236,53,356,669,293,200,248,69,28,737,248,83,668,315,50,167,402,363,573,121,216,599,48,33,197,JPA
