,M93119_at,D50310_at,X03066_at,M19645_at,U07550_at,X65784_s_at,D80004_at,M93426_at,L36463_at,X52011_at,M57464_s_at,J03191_at,M83308_at,X54304_at,U79262_at,M31303_rna1_at,D42041_at,U79294_at,U09087_s_at,U16954_at,L36818_at,L25270_at,L08895_at,U06155_at,D14043_at,U33818_at,X73358_s_at,D00763_at,D87470_at,U17760_rna1_at,D14662_at,D13631_s_at,M16447_at,M75099_at,Z69915_at,V01515_cds1_at,D25304_at,U90916_at,X76105_at,U51336_at,U91930_at,U30521_at,D45248_at,L06132_at,HG3514-HT3708_at,X04106_at,M20137_at,D85815_at,X00371_rna1_at,X61587_at,class
11,169,745,98,66,97,21,68,40,236,72,331,20,523,35,170,606,76,77,35,579,20,46,20,20,20,38,537,68,20,126,143,20,34,67,56,45,76,20,20,173,155,353,20,181,129,339,121,333,44,20,MED
12,536,956,91,77,20,169,320,25,287,90,57,133,355,37,299,871,94,88,61,1237,20,20,20,20,20,65,1132,93,70,124,57,20,44,56,154,46,26,20,20,240,239,1080,87,147,190,439,149,334,53,40,MED
13,459,984,45,59,124,98,314,84,197,51,131,90,363,53,298,1066,90,134,55,812,20,42,20,20,42,91,715,68,41,91,37,20,45,70,127,24,20,20,33,254,109,878,90,250,137,556,102,260,32,20,MED
14,128,1307,87,110,119,32,157,35,225,64,123,135,349,20,261,568,132,183,68,649,20,46,20,20,41,43,1283,63,20,103,98,20,24,197,85,39,27,20,20,207,130,676,42,154,210,333,105,304,64,20,MED
15,20,571,88,292,293,217,55,30,194,43,231,878,261,344,131,466,195,170,83,70,109,32,20,29,48,136,305,156,51,68,132,20,32,195,64,32,62,20,86,207,389,362,201,286,338,1009,123,292,46,74,MED
16,701,2082,84,65,143,88,307,20,181,50,277,223,265,57,215,746,165,111,90,1032,30,31,20,20,49,200,616,132,55,49,112,20,42,23,396,22,87,20,50,302,229,1073,39,205,227,398,160,254,38,32,MED
17,686,838,129,243,214,97,321,20,271,54,176,365,205,180,142,472,198,137,87,880,95,25,81,43,219,93,334,263,70,65,196,34,38,108,167,35,212,20,84,462,224,851,109,299,324,426,112,224,39,94,MED
18,923,1132,107,94,194,152,322,22,256,49,186,367,180,78,171,581,170,100,69,984,48,26,20,36,135,76,574,245,55,57,151,20,47,73,185,36,197,20,82,446,252,1003,82,412,213,472,86,190,37,78,MED
19,409,1434,116,261,246,85,235,76,273,42,119,181,190,51,185,604,200,131,104,1159,54,33,20,32,89,73,1046,201,76,52,170,20,57,156,166,38,120,20,27,262,235,1137,114,372,253,334,121,197,43,65,MED
20,899,1479,86,72,209,105,296,46,176,46,188,305,305,65,178,908,99,173,60,1108,24,45,20,20,35,77,870,95,52,93,73,20,34,118,178,38,66,29,29,216,233,1025,88,246,214,595,80,267,34,57,MED
21,233,1182,109,191,91,133,270,226,207,47,67,219,235,72,222,699,113,172,113,740,52,41,20,20,83,110,796,114,71,51,125,28,24,83,183,25,85,20,20,296,353,1224,149,230,232,371,114,260,39,46,MED
22,597,957,90,71,179,59,278,22,165,59,99,28,335,60,315,964,90,83,109,1443,22,42,20,20,22,47,1047,64,40,89,104,20,29,20,215,51,35,20,20,192,222,1104,36,200,216,368,97,297,51,20,MED
23,1000,1008,133,71,123,25,349,45,244,67,73,20,287,46,120,732,72,391,109,808,33,45,20,23,51,52,422,92,39,73,91,20,32,20,140,45,66,20,20,199,161,683,25,181,162,307,117,285,42,20,MED
24,174,435,146,26,79,53,169,42,222,70,25,20,405,20,101,830,105,297,121,945,20,35,20,24,29,20,458,95,65,81,105,20,33,41,90,43,20,20,20,79,195,470,49,105,110,585,86,265,20,20,MED
25,201,569,116,105,67,88,415,105,228,41,22,113,319,20,152,1093,94,20,66,861,30,49,20,33,33,20,357,78,20,80,65,20,20,20,139,20,20,20,20,143,285,1005,25,179,250,102,106,249,20,20,MED
26,686,831,109,260,142,72,173,166,250,45,77,122,167,86,259,515,257,85,28,981,59,36,20,52,69,70,825,204,100,62,153,20,75,116,278,42,111,20,56,169,287,1040,120,303,297,304,140,190,48,53,MED
27,126,1030,117,203,308,48,65,43,264,81,690,274,306,48,186,634,66,170,31,378,27,27,34,26,33,62,488,147,32,64,110,20,42,100,109,45,205,20,20,275,290,468,51,234,135,175,147,253,26,40,MED
28,582,927,131,122,308,111,224,25,309,51,287,176,239,92,219,534,205,102,70,626,69,35,20,51,123,76,512,320,58,100,191,20,36,52,152,45,233,20,66,212,182,836,43,285,202,206,148,247,52,68,MED
29,534,996,112,158,70,157,387,114,336,54,96,237,195,61,196,830,108,104,64,1102,36,40,20,20,62,97,918,127,104,90,135,20,40,122,193,28,84,20,49,152,205,966,100,231,372,399,113,274,44,75,MED
30,481,713,128,263,122,154,183,20,291,63,130,155,224,71,111,467,273,160,52,387,72,38,20,49,74,53,245,131,76,73,203,20,48,112,160,52,136,20,93,124,220,605,131,193,271,247,133,263,40,34,MED
31,133,982,118,57,64,75,100,88,172,68,26,20,261,58,147,1106,84,379,74,682,20,49,20,20,37,35,407,69,20,36,86,36,20,22,162,20,47,20,20,84,231,1352,20,177,205,526,139,244,26,20,MED
32,116,799,84,101,109,81,198,49,145,69,20,51,248,31,137,842,115,74,42,747,54,44,20,20,74,43,541,63,60,80,102,20,35,20,114,61,22,20,20,167,211,1281,70,166,123,155,98,277,47,20,MED
33,124,1669,90,361,362,131,300,23,255,51,308,309,251,100,189,573,221,114,47,407,102,36,20,35,75,163,373,254,60,67,215,20,83,130,216,46,176,20,45,331,202,687,141,419,449,590,132,232,42,68,MED
34,554,883,134,78,144,131,418,20,314,58,268,112,325,33,148,576,113,109,39,699,45,49,20,20,60,27,620,70,67,67,41,20,44,65,149,26,214,20,40,168,90,626,47,116,178,248,83,273,64,74,MED
35,1060,1243,99,147,225,128,320,122,299,52,262,106,244,27,204,696,197,200,39,874,90,39,20,23,46,91,465,276,92,72,187,20,89,88,191,49,191,44,49,254,252,810,82,329,214,357,126,229,59,64,MED
36,1142,1463,81,98,255,164,385,20,258,44,210,196,228,77,208,791,148,86,72,872,64,32,20,55,43,61,537,220,47,69,134,20,70,109,122,43,180,21,108,329,200,1330,96,288,250,303,88,203,40,59,MED
37,577,848,99,119,237,147,353,20,263,53,175,309,234,69,185,631,277,92,138,848,63,27,20,20,42,66,648,226,47,64,177,20,97,100,210,42,153,20,87,238,215,1082,116,334,216,339,102,226,42,75,MED
38,773,1087,113,224,79,169,159,87,358,65,41,20,212,62,171,819,137,129,38,1069,59,47,59,41,62,56,662,100,141,71,116,20,69,66,222,41,98,20,108,156,427,1614,94,127,328,496,117,216,44,64,MED
39,332,1150,117,123,230,87,258,72,294,52,206,126,262,126,200,751,162,95,63,786,35,39,20,20,23,107,1030,142,35,69,172,20,50,53,250,46,163,20,20,106,254,1094,97,334,356,398,113,248,37,55,MED
40,47,621,146,67,91,101,97,769,323,114,121,30,448,20,125,183,110,91,20,337,46,52,25,20,24,20,235,72,98,123,42,36,70,20,92,69,149,20,20,216,190,282,43,162,73,184,209,380,69,35,MGL
41,42,478,144,132,174,74,23,425,321,94,128,112,454,68,103,250,156,246,28,276,84,49,41,20,101,48,245,136,47,110,202,98,77,20,76,61,235,33,20,150,173,147,35,190,207,212,189,359,61,43,MGL
42,20,287,128,80,45,68,50,331,307,98,78,121,475,20,91,225,113,461,20,169,64,52,20,20,77,31,209,26,143,122,179,40,82,54,30,56,185,77,20,759,148,22,40,193,83,312,198,373,74,115,MGL
43,20,365,133,249,198,90,64,569,305,77,165,320,375,155,146,265,169,302,23,309,72,48,53,50,147,49,401,163,92,110,222,99,117,90,42,57,296,45,66,167,233,159,152,258,237,515,188,316,60,77,MGL
44,35,388,138,100,133,130,91,784,327,103,68,20,508,20,138,167,145,156,20,486,65,55,36,38,49,29,192,68,130,123,136,63,109,20,81,66,214,55,20,249,239,131,37,173,178,233,172,382,70,54,MGL
45,20,324,148,54,57,91,54,315,360,95,109,47,534,20,125,93,84,148,20,177,85,52,20,27,25,26,154,60,70,139,85,44,34,20,43,64,165,88,20,239,156,45,21,120,54,243,176,349,66,27,MGL
46,20,421,130,97,150,65,53,355,346,92,84,105,516,20,85,267,100,403,20,222,97,44,73,20,78,44,128,67,67,119,505,84,74,20,51,61,299,167,20,367,130,139,41,189,108,168,172,382,69,54,MGL
47,20,545,96,480,370,156,158,224,228,42,257,721,209,222,64,452,329,168,23,607,151,29,87,73,216,134,229,320,78,54,281,194,84,84,119,27,569,33,93,148,295,538,355,401,403,597,117,214,39,126,RHB
48,20,336,122,530,405,130,138,508,226,45,281,1132,236,415,102,275,323,142,20,108,116,36,20,58,314,149,215,268,74,53,197,20,37,146,63,37,165,20,85,107,303,97,230,497,591,688,124,204,26,108,RHB
49,20,396,104,388,389,157,114,20,218,46,307,924,226,395,109,395,339,104,21,211,142,36,20,65,286,144,370,397,74,59,340,20,40,100,86,45,178,20,72,96,321,222,412,472,458,689,90,216,36,102,RHB
50,20,629,94,436,390,229,164,20,195,35,303,881,185,356,132,508,347,104,21,455,256,29,20,60,213,177,514,285,67,58,312,20,101,44,42,63,180,30,57,96,451,651,394,560,553,663,128,198,33,110,RHB
51,20,644,123,786,663,180,91,45,235,38,283,754,211,353,110,515,436,104,51,261,143,29,20,45,251,186,390,425,67,52,329,20,58,165,58,38,209,20,76,146,315,1245,384,569,457,697,108,183,27,96,RHB
52,20,619,84,628,457,291,138,20,234,27,292,1029,172,403,75,404,376,101,20,54,180,24,45,97,255,167,295,489,61,99,292,20,65,177,38,20,241,20,101,184,493,894,429,577,505,851,109,147,40,130,RHB
53,20,422,119,674,144,222,46,20,284,49,265,739,207,296,56,187,314,704,20,71,166,25,86,42,212,129,299,383,20,69,306,20,42,158,37,31,243,20,134,147,184,716,284,577,537,709,84,216,35,143,RHB
54,20,352,89,688,390,231,108,280,256,30,94,154,218,71,71,263,221,323,20,75,167,31,104,80,145,58,170,366,96,65,434,20,45,303,43,22,136,67,206,433,425,132,189,299,208,451,163,237,41,62,EPD
55,20,340,72,374,384,231,73,303,231,36,20,73,179,81,92,226,219,254,20,46,142,23,104,69,352,60,261,323,106,55,373,33,36,286,56,42,159,134,154,160,411,159,249,339,231,362,108,230,37,57,EPD
56,20,482,76,611,428,231,102,165,216,34,63,416,183,171,76,288,246,298,22,114,165,20,80,68,149,73,157,377,100,50,582,62,97,202,61,27,203,72,298,145,403,412,243,400,387,477,128,171,32,100,EPD
57,20,572,90,447,538,274,72,104,201,35,102,605,174,406,114,428,251,383,55,191,188,23,33,70,274,113,252,453,115,41,395,23,108,213,102,26,162,47,206,139,379,614,274,431,458,541,98,199,20,101,EPD
58,68,773,75,483,498,258,98,165,192,35,126,458,134,256,129,608,263,291,92,434,209,20,42,73,239,155,211,483,111,36,366,27,111,187,141,23,176,26,171,170,383,694,210,459,295,500,92,163,22,93,EPD
59,20,366,99,397,426,262,25,296,234,35,119,120,218,60,87,381,303,307,20,155,191,27,75,52,231,96,69,368,127,70,537,26,51,177,38,30,200,52,243,411,417,454,339,296,208,490,142,191,35,57,EPD
60,20,518,100,389,330,183,80,20,242,31,62,306,146,222,63,193,221,378,20,176,138,20,67,64,252,99,174,308,82,62,327,24,70,225,46,38,147,20,183,322,313,504,163,320,316,509,56,174,31,79,EPD
61,138,661,94,473,497,234,69,269,222,38,119,237,224,162,112,329,147,671,28,323,217,23,73,64,247,118,228,342,253,48,445,114,105,321,93,25,321,114,164,248,342,561,154,389,323,515,149,170,20,138,EPD
62,20,567,69,529,389,210,97,228,189,36,55,353,163,243,130,226,274,550,20,49,141,20,38,86,330,80,369,393,105,40,579,141,134,259,63,27,382,87,121,281,401,71,96,463,286,574,118,161,32,102,EPD
63,20,513,104,527,363,170,103,473,183,31,88,580,175,330,95,287,222,559,23,320,170,20,193,65,261,141,239,409,109,41,431,89,113,190,61,22,288,85,205,237,306,498,248,400,463,586,95,174,26,191,EPD
64,20,562,77,458,340,219,46,1035,202,39,88,375,188,191,87,301,215,976,20,335,221,20,113,82,195,86,389,239,228,57,198,329,231,239,52,21,686,196,132,626,339,139,235,512,328,534,107,182,32,186,JPA
65,20,526,70,366,293,226,34,872,209,39,62,246,195,179,89,343,221,911,20,352,240,20,108,63,213,137,311,297,266,54,309,365,253,238,47,20,766,239,118,678,327,173,181,467,290,516,95,177,35,174,JPA
66,20,515,98,363,270,180,43,874,239,42,66,257,210,148,74,277,209,857,20,329,199,23,119,66,224,119,267,250,227,63,249,331,228,230,66,24,656,192,101,593,292,92,160,433,295,487,118,223,43,166,JPA
67,20,549,73,444,328,229,38,997,217,39,83,292,239,176,66,256,173,781,20,313,243,20,123,73,150,108,324,316,235,59,294,396,220,231,76,21,799,197,117,590,317,116,193,467,390,649,111,213,31,182,JPA
68,20,600,78,503,315,209,51,1069,222,48,75,259,251,167,80,271,163,887,20,287,237,24,118,57,163,115,357,171,220,63,285,314,233,216,64,24,641,214,92,630,348,304,163,354,355,561,101,228,33,170,JPA
69,20,492,76,392,336,141,54,896,209,54,65,263,272,181,78,228,187,887,20,269,209,20,122,64,233,164,329,247,236,48,356,293,200,248,69,28,737,248,83,668,315,50,167,402,363,573,121,216,39,197,JPA
