,M93119_at,D50310_at,U07550_at,D80004_at,M93426_at,X52011_at,M57464_s_at,J03191_at,X54304_at,U79262_at,M31303_rna1_at,D42041_at,U79294_at,U16954_at,L36818_at,U06155_at,D00763_at,U17760_rna1_at,D14662_at,D13631_s_at,M16447_at,V01515_cds1_at,D25304_at,X76105_at,U51336_at,D45248_at,HG3514-HT3708_at,M20137_at,D85815_at,X00371_rna1_at,class
22,597,957,179,278,22,59,99,28,60,315,964,90,83,1443,22,20,64,89,104,20,29,51,35,20,192,36,216,97,297,51,MED
23,1000,1008,123,349,45,67,73,20,46,120,732,72,391,808,33,23,92,73,91,20,32,45,66,20,199,25,162,117,285,42,MED
24,174,435,79,169,42,70,25,20,20,101,830,105,297,945,20,24,95,81,105,20,33,43,20,20,79,49,110,86,265,20,MED
25,201,569,67,415,105,41,22,113,20,152,1093,94,20,861,30,33,78,80,65,20,20,20,20,20,143,25,250,106,249,20,MED
26,686,831,142,173,166,45,77,122,86,259,515,257,85,981,59,52,204,62,153,20,75,42,111,56,169,120,297,140,190,48,MED
27,126,1030,308,65,43,81,690,274,48,186,634,66,170,378,27,26,147,64,110,20,42,45,205,20,275,51,135,147,253,26,MED
28,582,927,308,224,25,51,287,176,92,219,534,205,102,626,69,51,320,100,191,20,36,45,233,66,212,43,202,148,247,52,MED
29,534,996,70,387,114,54,96,237,61,196,830,108,104,1102,36,20,127,90,135,20,40,28,84,49,152,100,372,113,274,44,MED
30,481,713,122,183,20,63,130,155,71,111,467,273,160,387,72,49,131,73,203,20,48,52,136,93,124,131,271,133,263,40,MED
31,133,982,64,100,88,68,26,20,58,147,1106,84,379,682,20,20,69,36,86,36,20,20,47,20,84,20,205,139,244,26,MED
32,116,799,109,198,49,69,20,51,31,137,842,115,74,747,54,20,63,80,102,20,35,61,22,20,167,70,123,98,277,47,MED
33,124,1669,362,300,23,51,308,309,100,189,573,221,114,407,102,35,254,67,215,20,83,46,176,45,331,141,449,132,232,42,MED
34,554,883,144,418,20,58,268,112,33,148,576,113,109,699,45,20,70,67,41,20,44,26,214,40,168,47,178,83,273,64,MED
35,1060,1243,225,320,122,52,262,106,27,204,696,197,200,874,90,23,276,72,187,20,89,49,191,49,254,82,214,126,229,59,MED
36,1142,1463,255,385,20,44,210,196,77,208,791,148,86,872,64,55,220,69,134,20,70,43,180,108,329,96,250,88,203,40,MED
37,577,848,237,353,20,53,175,309,69,185,631,277,92,848,63,20,226,64,177,20,97,42,153,87,238,116,216,102,226,42,MED
38,773,1087,79,159,87,65,41,20,62,171,819,137,129,1069,59,41,100,71,116,20,69,41,98,108,156,94,328,117,216,44,MED
39,332,1150,230,258,72,52,206,126,126,200,751,162,95,786,35,20,142,69,172,20,50,46,163,20,106,97,356,113,248,37,MED
40,47,621,91,97,769,114,121,30,20,125,183,110,91,337,46,20,72,123,42,36,70,69,149,20,216,43,73,209,380,69,MGL
41,42,478,174,23,425,94,128,112,68,103,250,156,246,276,84,20,136,110,202,98,77,61,235,20,150,35,207,189,359,61,MGL
42,20,287,45,50,331,98,78,121,20,91,225,113,461,169,64,20,26,122,179,40,82,56,185,20,759,40,83,198,373,74,MGL
43,20,365,198,64,569,77,165,320,155,146,265,169,302,309,72,50,163,110,222,99,117,57,296,66,167,152,237,188,316,60,MGL
44,35,388,133,91,784,103,68,20,20,138,167,145,156,486,65,38,68,123,136,63,109,66,214,20,249,37,178,172,382,70,MGL
45,20,324,57,54,315,95,109,47,20,125,93,84,148,177,85,27,60,139,85,44,34,64,165,20,239,21,54,176,349,66,MGL
46,20,421,150,53,355,92,84,105,20,85,267,100,403,222,97,20,67,119,505,84,74,61,299,20,367,41,108,172,382,69,MGL
47,20,545,370,158,224,42,257,721,222,64,452,329,168,607,151,73,320,54,281,194,84,27,569,93,148,355,403,117,214,39,RHB
48,20,336,405,138,508,45,281,1132,415,102,275,323,142,108,116,58,268,53,197,20,37,37,165,85,107,230,591,124,204,26,RHB
49,20,396,389,114,20,46,307,924,395,109,395,339,104,211,142,65,397,59,340,20,40,45,178,72,96,412,458,90,216,36,RHB
50,20,629,390,164,20,35,303,881,356,132,508,347,104,455,256,60,285,58,312,20,101,63,180,57,96,394,553,128,198,33,RHB
51,20,644,663,91,45,38,283,754,353,110,515,436,104,261,143,45,425,52,329,20,58,38,209,76,146,384,457,108,183,27,RHB
52,20,619,457,138,20,27,292,1029,403,75,404,376,101,54,180,97,489,99,292,20,65,20,241,101,184,429,505,109,147,40,RHB
53,20,422,144,46,20,49,265,739,296,56,187,314,704,71,166,42,383,69,306,20,42,31,243,134,147,284,537,84,216,35,RHB
54,20,352,390,108,280,30,94,154,71,71,263,221,323,75,167,80,366,65,434,20,45,22,136,206,433,189,208,163,237,41,EPD
55,20,340,384,73,303,36,20,73,81,92,226,219,254,46,142,69,323,55,373,33,36,42,159,154,160,249,231,108,230,37,EPD
56,20,482,428,102,165,34,63,416,171,76,288,246,298,114,165,68,377,50,582,62,97,27,203,298,145,243,387,128,171,32,EPD
57,20,572,538,72,104,35,102,605,406,114,428,251,383,191,188,70,453,41,395,23,108,26,162,206,139,274,458,98,199,20,EPD
58,68,773,498,98,165,35,126,458,256,129,608,263,291,434,209,73,483,36,366,27,111,23,176,171,170,210,295,92,163,22,EPD
59,20,366,426,25,296,35,119,120,60,87,381,303,307,155,191,52,368,70,537,26,51,30,200,243,411,339,208,142,191,35,EPD
60,20,518,330,80,20,31,62,306,222,63,193,221,378,176,138,64,308,62,327,24,70,38,147,183,322,163,316,56,174,31,EPD
61,138,661,497,69,269,38,119,237,162,112,329,147,671,323,217,64,342,48,445,114,105,25,321,164,248,154,323,149,170,20,EPD
62,20,567,389,97,228,36,55,353,243,130,226,274,550,49,141,86,393,40,579,141,134,27,382,121,281,96,286,118,161,32,EPD
63,20,513,363,103,473,31,88,580,330,95,287,222,559,320,170,65,409,41,431,89,113,22,288,205,237,248,463,95,174,26,EPD
64,20,562,340,46,1035,39,88,375,191,87,301,215,976,335,221,82,239,57,198,329,231,21,686,132,626,235,328,107,182,32,JPA
65,20,526,293,34,872,39,62,246,179,89,343,221,911,352,240,63,297,54,309,365,253,20,766,118,678,181,290,95,177,35,JPA
66,20,515,270,43,874,42,66,257,148,74,277,209,857,329,199,66,250,63,249,331,228,24,656,101,593,160,295,118,223,43,JPA
67,20,549,328,38,997,39,83,292,176,66,256,173,781,313,243,73,316,59,294,396,220,21,799,117,590,193,390,111,213,31,JPA
68,20,600,315,51,1069,48,75,259,167,80,271,163,887,287,237,57,171,63,285,314,233,24,641,92,630,163,355,101,228,33,JPA
69,20,492,336,54,896,54,65,263,181,78,228,187,887,269,209,64,247,48,356,293,200,28,737,83,668,167,363,121,216,39,JPA
